"Dataset","Class","Rel. Site Pref. Cutoff","Odds Ratio","OR_CI95_lower","p.value"
"HIV ENV","Charge",0.05,Inf,1.11764629395077,0.0284360555797677
"HIV ENV","Charge",0.1,2.1419810815049,1.09863207622612,0.0201108340061843
"HIV ENV","Charge",0.15,1.13534261078266,0.733731886112734,0.598555885535302
"HIV ENV","Charge",0.2,1.47637034888673,0.986832444564112,0.0600886449111774
"HIV ENV","Charge",0.25,1.21239394195685,0.840943868394915,0.330747559015757
"HIV ENV","Charge",0.3,1.11846125390068,0.790708893286038,0.553199520807238
"HIV ENV","Charge",0.35,1.2021091016525,0.856873960297518,0.283923189323514
"HIV ENV","Charge",0.4,1.20138284337065,0.859559739288753,0.287848886447227
"HIV ENV","Charge",0.45,1.27713684704256,0.916152954467529,0.143677291853781
"HIV ENV","Charge",0.5,1.21987011556685,0.874810772946598,0.252465829165991
"HIV ENV","Charge",0.55,1.20463758891746,0.858983552392446,0.278951559323865
"HIV ENV","Charge",0.6,1.27480418280265,0.900962251641973,0.168707502446855
"HIV ENV","Charge",0.65,1.19032341144711,0.823101971152337,0.363185460797751
"HIV ENV","Charge",0.7,0.988359613420886,0.663897388222069,1
"HIV ENV","Charge",0.75,0.855704109892747,0.548629281032952,0.538264604680317
"HIV ENV","Charge",0.8,0.697365816832196,0.40988856523915,0.170060862489145
"HIV ENV","Charge",0.85,0.72459080774622,0.397292511481059,0.306101961161276
"HIV ENV","Charge",0.9,0.695862964393917,0.342154653454479,0.309295444722468
"HIV ENV","Charge",0.95,0.421677575491337,0.106588971692267,0.145883292873168
"NP (H3N2)","Charge",0.05,1.24194601054021,0.916676491450046,0.161602088571772
"NP (H3N2)","Charge",0.1,1.01289152975794,0.761335033359083,0.944143399431094
"NP (H3N2)","Charge",0.15,0.967125816127075,0.704005465087395,0.877749342380929
"NP (H3N2)","Charge",0.2,1.0410432891598,0.73155171781022,0.797836004244833
"NP (H3N2)","Charge",0.25,1.05939400625209,0.712559315481988,0.773989197440901
"NP (H3N2)","Charge",0.3,0.854197201311957,0.541668020697909,0.531539065932243
"NP (H3N2)","Charge",0.35,0.757253482456265,0.455359976486804,0.264364930898864
"NP (H3N2)","Charge",0.4,0.859489327215969,0.502849590131361,0.629415985718318
"NP (H3N2)","Charge",0.45,0.62927678538237,0.334872878094845,0.123435464865612
"NP (H3N2)","Charge",0.5,0.648949003561843,0.337322978793992,0.18148384907397
"NP (H3N2)","Charge",0.55,0.561621553065824,0.270346834013313,0.0912997315591577
"NP (H3N2)","Charge",0.6,0.588765183023188,0.272708391088765,0.137450519202101
"NP (H3N2)","Charge",0.65,0.623812018752665,0.27609956201833,0.207227331176644
"NP (H3N2)","Charge",0.7,0.549551070716736,0.203639122863193,0.209546934093885
"NP (H3N2)","Charge",0.75,0.510489753267344,0.152040961431719,0.220964106167524
"NP (H3N2)","Charge",0.8,0.554247868618906,0.1365688486489,0.353322211355
"NP (H3N2)","Charge",0.85,0.642887852255258,0.116699307284556,0.774852173307453
"NP (H3N2)","Charge",0.9,0.93316047419555,0.091610861257067,1
"NP (H3N2)","Charge",0.95,0.699363140810685,0.0141523980339108,1
"NP (H1N1)","Charge",0.05,1.94821180722488,1.37305030503298,8.70813658827877e-05
"NP (H1N1)","Charge",0.1,0.997118048072888,0.751182560293089,1
"NP (H1N1)","Charge",0.15,0.784077800594406,0.557734960120254,0.152534758808112
"NP (H1N1)","Charge",0.2,0.813388371264405,0.543124404736809,0.308035973967558
"NP (H1N1)","Charge",0.25,0.829967355303378,0.527095761422866,0.410068504320748
"NP (H1N1)","Charge",0.3,0.84607933132542,0.506501413383192,0.563156308859662
"NP (H1N1)","Charge",0.35,0.824344610960212,0.449842541117441,0.594553571212836
"NP (H1N1)","Charge",0.4,0.923504143177413,0.481373081191193,0.88440083990065
"NP (H1N1)","Charge",0.45,0.97263859422432,0.48127558623834,1
"NP (H1N1)","Charge",0.5,1.20035458431706,0.54829677778488,0.587178014845971
"NP (H1N1)","Charge",0.55,1.00179152140144,0.406512361041933,1
"NP (H1N1)","Charge",0.6,1.17613700598742,0.440463466292952,0.663941021940796
"NP (H1N1)","Charge",0.65,1.22241368639996,0.420888990744776,0.637586461565028
"NP (H1N1)","Charge",0.7,1.52776403524803,0.459637505801006,0.410721503397544
"NP (H1N1)","Charge",0.75,1.59733380566369,0.340407080903005,0.49424798064996
"NP (H1N1)","Charge",0.8,1.39482893964233,0.224300254613883,0.70572197455255
"NP (H1N1)","Charge",0.85,0.694854640971559,0.0140624730448271,1
"NP (H1N1)","Charge",0.9,0.927354300057643,0.0176052095323955,1
"NP (H1N1)","Charge",0.95,2.78559860514943,0.035407002023296,0.459017393957888
"HA (H1N1)","Charge",0.05,1.73410558007494,1.15807425124756,0.00504170561347342
"HA (H1N1)","Charge",0.1,1.46458965283265,1.11227303632441,0.00508893832293344
"HA (H1N1)","Charge",0.15,1.01221355911611,0.775197246081929,0.947553256946152
"HA (H1N1)","Charge",0.2,0.936607578129784,0.710936615539121,0.637266626278508
"HA (H1N1)","Charge",0.25,0.956376504183699,0.719051866150849,0.780727136229505
"HA (H1N1)","Charge",0.3,0.931815927570075,0.69213063217149,0.665309867528964
"HA (H1N1)","Charge",0.35,0.977485086156873,0.711567781442777,0.93864405255307
"HA (H1N1)","Charge",0.4,1.05840274608972,0.75372225811034,0.740685080166748
"HA (H1N1)","Charge",0.45,1.08867561334372,0.759942870461698,0.660760174065808
"HA (H1N1)","Charge",0.5,1.19987982927599,0.822367273313191,0.350440707545706
"HA (H1N1)","Charge",0.55,1.23910973758316,0.815874104042437,0.30188412950447
"HA (H1N1)","Charge",0.6,1.0926156199363,0.688296892671956,0.73894459982564
"HA (H1N1)","Charge",0.65,1.33245983745869,0.811369833374383,0.221212980728166
"HA (H1N1)","Charge",0.7,1.38953200198422,0.812971567597223,0.186766721424624
"HA (H1N1)","Charge",0.75,1.29839505403653,0.706998180157907,0.376484726289754
"HA (H1N1)","Charge",0.8,1.20343139672548,0.581372576776522,0.608416264912234
"HA (H1N1)","Charge",0.85,0.974760719296621,0.369395533939535,1
"HA (H1N1)","Charge",0.9,1.06781528556597,0.292299774105615,1
"HA (H1N1)","Charge",0.95,1.54062055789064,0.23787218723234,0.693543200932261
